Name,population
"Andalusia, Spain",8446561
"Aragon, Spain",1324397
"Asturias, Spain",1019993
"Balearic Islands, Spain",1198576
"Basque Country, Spain",2181919
"Canary Islands, Spain",2220270
"Cantabria, Spain",581949
"Castile and León, Spain",2402877
"Castile-La Mancha, Spain",2038440
"Catalonia, Spain",7609499
"Ceuta, Spain",84434
"Community of Madrid, Spain",6685471
"Extremadura, Spain",1062797
"Galicia, Spain",2698764
"Melilla, Spain",84286
"Navarre, Spain",652526
"Region of Murcia, Spain",1494442
"Rioja, Spain",314487
"Valencian Community, Spain",4998711
