Distrito;2001 T1;2001 T2;2001 T3;2001 T4;2002 T1;2002 T2;2002 T3;2002 T4;2003 T1;2003 T2;2003 T3;2003 T4;2004 T1;2004 T2;2004 T3;2004 T4;2005 T1;2005 T2;2005 T3;2005 T4;2006 T1;2006 T2;2006 T3;2006 T4;2007 T1;2007 T2;2007 T3;2007 T4;2008 T1;2008 T2;2008 T3;2008 T4;2009 T1;2009 T2;2009 T3;2009 T4;2010 T1;2010 T2;2010 T3;2010 T4;2011 T1;2011 T2;2011 T3;2011 T4;2012 T1;2012 T2;2012 T3;2012 T4;2013 T1;2013 T2;2013 T3;2013 T4;2014 T1;2014 T2;2014 T3;2014 T4;2015 T1;2015 T2;2015 T3;2015 T4;2016 T1;2016 T2;2016 T3;2016 T4;2017 T1;2017 T2;2017 T3;2017 T4
Arganzuela;1920,406575;1989,755278;1974,715394;2027,376614;2150,814674;2222,283145;2625,98343;2678,136098;2744,417754;2845,088371;2999,037592;3144,480612;3236,021589;3277,259691;3285,09194;3401,49813;3498,523509;3504,34008;3595,214614;3674,041753;3781,220425;3828,311608;3903,504536;3980,433067;3970,754788;3926,99323;3913,507038;3893,922691;3854,651896;3721,223385;3624,471671;3550,701451;3435,979044;3408,071377;3392,775275;3356,75304;3345,225897;3317,321705;3349,798568;3275,762232;3250,098358;3161,008284;3122,50789;3063,202815;3022,848701;2897,71503;2790,225159;2689,806397;2679,659278;2583,814207;2684,640038;2796,693074;2827,837189;2684,78;2637,868098;2653,252164;2671,139381;2714,31687;2787,148481;2746;2834,89717;2917,822202;2925,242281;3012,698933;3136,799261;3204,209495;3293,411277;3528,858592
Barajas;1661,890306;1679,779674;1842,425115;1964,722448;2082,549686;2151,74981;2542,636999;2593,134387;2605,685607;2743,162062;2935,204735;2952,521732;2927,961931;2975,727584;3100,54554;3219,318797;3292,163084;3452,922766;3365,811721;3432,884098;3445,134635;3514,790392;3554,195742;3707,29261;3687,651963;3730,177952;3651,233445;3638,062116;3636,732939;3601,944938;3518,478959;3397,817982;3276,404683;3254,129604;3304,86072;3273,081099;3290,678819;3186,766568;3240,535399;3212,38567;3178,869415;3140,04936;3035,000296;3024,128627;3022,844739;2928,21199;2869,486346;2776,719416;2774,894105;2625,191546;2727,45;2763,582459;2828,299541;2715,88;2610,734035;2583,095419;2605,051249;2637,967855;2602,925983;2602;2585,362355;2571,425036;2604,418394;2671,565695;2642,248139;2700,246315;2866,748434;2993,200443
Carabanchel;1358,55788;1413,035307;1481,473522;1572,900122;1651,451615;1799,203231;1837,543841;2069,457771;2162,553033;2240,61195;2354,414308;2496,354284;2570,310963;2620,571581;2624,018866;2643,278037;2736,226031;2726,286352;2777,538254;2855,124236;2923,710945;3114,387077;3161,175436;3210,175443;3227,687359;3182,860262;3147,671569;3102,964871;3066,697256;2966,374436;2843,751064;2790,602433;2679,946681;2622,187105;2623,728572;2590,344997;2557,29544;2481,056407;2439,739888;2384,747873;2330,303611;2247,526514;2221,291565;2127,303752;2067,634183;1980,758495;1874,845421;1820,608271;1798,689726;1739,916056;1796,536332;1857,125746;1798,248592;1698,32;1639,60852;1601,736333;1650,627201;1636,809911;1672,249738;1622;1630,767222;1622,877897;1653,876797;1701,521759;1714,050469;1759,061356;1823,629862;1873,868703
Centro;1857,414416;1988,012989;2061,026117;2155,490358;2292,020333;2454,734138;2522,999126;2789,513118;2953,878513;2965,104562;3129,064717;3196,736226;3347,39096;3436,654783;3464,030063;3619,347052;3694,033363;3784,768182;3841,284459;4011,087833;4145,208112;4279,605314;4261,864134;4304,545341;4398,209311;4454,442807;4404,695709;4421,598646;4387,24503;4303,113193;4137,092563;4092,491305;3988,152675;3896,496376;3897,313955;3891,231016;3825,124978;3739,715228;3758,505867;3786,032333;3727,767543;3596,227578;3602,684593;3574,754428;3483,974241;3389,693449;3311,571241;3202,26446;3154,764921;3080,851918;3434;3354,210585;3412,028996;3337,41;3276,162843;3284,73341;3346,490683;3423,803418;3537,89362;3568;3598,62591;3638,0604;3717,710815;3778,707106;3971,589684;4306,871907;4455,690224;4598,738176
Chamart’n;2523,688015;2660,918525;2857,184513;3006,464859;2836,269959;3095,302856;3160,762433;3529,206338;3578,902099;3676,665244;3849,752173;4041,103578;4078,52568;4180,421138;4139,769085;4232,158351;4240,559738;4366,417587;4423,761058;4526,15454;4609,317348;4701,2665;4668,838188;4797,762429;4860,64848;4884,635552;4913,354066;4930,9736;4969,769892;4938,963921;5028,760651;4979,097565;4822,169098;4759,953212;4789,556447;4784,269864;4744,269108;4788,143193;4693,841364;4557,425838;4498,345945;4492,902959;4422,941082;4314,387832;4216,440147;4127,94943;4028,310462;3964,611069;3873,1149;3820,387441;3758,33;3747,132329;3735,306443;3674,12;3652,222787;3716,554829;3729,908815;3740,25068;3765,694288;3790;3891,715985;3915,037335;3988,914352;4071,564295;4207,189274;4337,761693;4384,108074;4563,822701
Chamber’;2264,789566;2454,963165;2446,560838;2695,0643;2780,16175;2901,729536;3180,400307;3353,400617;3407,658168;3613,846886;3729,434535;3962,541286;4016,035665;4066,367504;4217,423427;4229,78688;4262,209383;4274,720601;4436,230625;4516,502291;4658,370827;4738,999833;4752,410629;4828,985158;4927,480461;4941,77603;4909,468277;4982,166206;4984,956029;4885,729057;4790,285874;4693,419879;4668,05987;4681,154006;4737,189628;4686,158679;4712,911457;4686,060331;4604,416121;4479,087908;4445,235623;4355,637108;4308,624217;4227,480456;4189,462376;4055,066529;3930,050122;3772,180203;3659,955061;3624,885464;3681,93;3566,796483;3683,292601;3643,68;3628,649288;3629,895394;3689,10017;3764,515593;3781,490562;3760;3945,56035;3960,268735;4017,327725;4059,861365;4290,684052;4507,98706;4641,838483;4810,755821
Ciudad Lineal;2006,885908;2073,373884;2254,543786;2277,058144;2372,442099;2495,880158;2674,49129;2818,502359;2965,464995;3078,648694;3078,984693;3311,632129;3230,88966;3300,178751;3352,375706;3348,706643;3424,253135;3498,661813;3580,562108;3705,273404;3695,491956;3789,204991;3804,749365;3818,359851;3788,407996;3762,045803;3768,786316;3725,47388;3763,942771;3701,770368;3679,344814;3566,971286;3540,240067;3480,2076;3512,039086;3435,769076;3363,068484;3335,675597;3310,525907;3249,245654;3209,539986;3144,02632;3166,062984;3078,332311;3009,074211;2927,541361;2819,555432;2728,89004;2660,390584;2593,251181;2525,043007;2630,668122;2666,077669;2581,82;2514,03898;2463,836904;2512,53641;2477,740238;2485,647962;2455;2488,71967;2480,231221;2486,842635;2523,021654;2557,5141;2616,012721;2691,580483;2724,15851
Fuencarral;2060,09877;2056,771561;2047,430647;2174,193094;2432,290855;2562,274872;2675,426427;2807,280717;2951,194082;2958,938116;3063,632506;3283,021168;3295,622458;3357,620143;3396,518642;3428,387507;3470,380506;3502,817745;3471,739871;3593,351255;3743,383403;3830,297816;3830,861481;3868,221736;3920,548856;3916,612032;3891,631387;3832,693807;3839,267463;3720,09934;3665,70255;3611,984628;3589,906948;3557,472418;3515,412833;3496,31898;3453,254698;3425,646163;3437,845444;3456,0863;3401,296366;3316,889985;3264,963595;3211,141275;3120,940758;3015,586503;2947,665163;2835,042819;2788,409718;2717,450635;2885,04;2805,049655;2820,822217;2678,06;2656,38788;2655,559039;2679,565608;2719,004586;2713,545838;2734;2757,904061;2739,962211;2767,54949;2824,193857;2934,222431;2995,870061;3067,031194;3174,208111
Hortaleza;2098,271749;2148,775634;2104,167428;2192,89583;2179,803915;2445,38277;2422,00435;2757,718466;2746,384821;2863,258418;2935,991705;3045,910523;3118,809034;3210,29903;3224,916257;3342,990434;3351,639396;3395,417599;3476,160323;3567,410426;3658,934577;3673,132571;3760,568403;3819,602407;3840,210413;3870,829322;3878,403976;3910,242659;3950,035622;3853,026804;3867,520237;3888,861254;3835,787944;3822,826539;3782,147499;3787,164148;3729,021161;3711,695872;3705,218509;3573,270638;3478,190644;3385,324784;3378,300286;3345,60915;3222,490013;3115,908569;3033,753778;2950,654284;2957,461899;2965,06788;3021,01;3016,618754;2956,014698;2781,589018;2778,933781;2765,164102;2739,628378;2791,367279;2822,928237;2818;2848,378489;2851,94819;2799,30473;2856,428154;2861,337961;3066,386914;3051,418284;3202,834314
Latina;1473,869276;1527,705991;1572,561489;1644,905657;1757,122075;1862,792535;2028,311751;2168,582273;2261,695769;2365,690896;2445,291128;2500,446827;2430,164439;2532,250484;2653,867562;2776,952909;2825,213766;2876,363406;2967,623351;2990,174023;3096,082051;3166,682746;3226,681317;3223,400125;3239,467642;3213,762851;3161,582145;3105,619845;3071,484944;2971,376174;2857,184886;2777,135944;2658,553601;2615,224258;2577,050924;2517,068531;2487,81349;2457,904926;2453,12172;2404,054105;2316,682819;2251,071883;2222,650692;2133,640751;2050,049942;2003,669734;1909,342109;1821,2386;1802,764835;1763,561894;1925,82;1878,818318;1857,097159;1722,74;1677,287212;1590,441315;1628,04731;1642,109501;1693,511413;1653;1698,131008;1745,490961;1761,469554;1783,698014;1806,085596;1845,027286;1878,670339;1976,837338
